name,kind,lat,lon
Khu du lịch Malibu,hotel,10.9420835,108.2979164
Kitecamp Nomad,hotel,10.9390814,108.295717
Pandanus Resort,hotel,10.9448328,108.2980666
Khách sạn Đại Dương,hotel,10.9429684,108.2769898
Muine de Century Resort & Spa,hotel,10.9520114,108.2526139
Mai Vy Guest House,hotel,10.9550029,108.2389615
Lucy Resort,hotel,10.9506684,108.2580642
Nhà nghỉ Đức Thảo Guest House,hotel,10.9502418,108.2588956
Ngoc Lam Guest House,hotel,10.9540707,108.2474533
PhuongTay Guest House,hotel,10.9524767,108.2508565
Little Muine Cottages Hotel,hotel,10.9518494,108.2512228
Sunrise Village Hotel,hotel,10.9525486,108.2471744
Little Paris Resort & Spa,hotel,10.9527224,108.2503609
Cham Villas Resort,hotel,10.9527066,108.2449911
Resort Hoàng Ngọc,hotel,10.9550187,108.2383177
Muine Watergate Resort,hotel,10.9546711,108.2372502
Mai Am Guest House,hotel,10.9543709,108.2367245
Dynasty Beach Mui Ne Resort,hotel,10.9548344,108.2342891
Pacific Beach Resort,hotel,10.9549608,108.2335059
Rang Garden Resort,hotel,10.9553505,108.2329587
Minh Koi,hostel,10.954085,108.217527
Vita Garden Mini-Zoo,zoo,10.9543324,108.2587827
Diem Lien Guesthouse,hotel,10.9499305,108.2595064
Diem Lien Guesthouse,hotel,10.9499785,108.2592827
Hoang Nga Guesthouse,hostel,10.9525467,108.2548339
Minh Tâm resort,hotel,10.9550962,108.2313128
Bao Quynh,hotel,10.9446661,108.1962704
Binh Thanh Hotel,hotel,11.3876891,107.5383206
Motel,motel,11.4035493,107.505823
Pebble Beach Resort,hotel,10.9787852,108.3406135
Ban Mai Hotel 66,hotel,10.939359,108.1309447
Surf4you Residence,hotel,10.9473197,108.2643459
Venus Mui Ne Hotel,hotel,10.9532381,108.2428751
Gia minh,guest_house,10.6690284,107.7768517
Nhà nghỉ Mai Huy,guest_house,10.7076125,107.8396499
Ta Cu Moutain,attraction,10.8345222,107.8703156
Trung Tâm Hành Hương Đức Mẹ TàPao,monument,11.1366349,107.7287329
Đức Mẹ Tà Pao,artwork,11.1378275,107.730719
Fairy Stream,attraction,10.9520082,108.2567008
Red dunes,viewpoint,10.9487594,108.2959203
Takalau Residence & Resort,hotel,10.9369628,108.1739033
Mui Ne hills villa hotel,hotel,10.9480894,108.2002175
Sai Gon Pt,guest_house,10.9310973,108.1090135
Saigon PT Hotel,hotel,10.9310714,108.1090522
Saigon PT Hotel,hotel,10.9310864,108.1090098
Viet's Hotel,hotel,10.9493183,108.2001856
Mui ne budget hotel,hotel,10.9477942,108.2011306
La Marina,hotel,10.952816,108.2472861
Fairy Stream Waterfall,attraction,10.9582685,108.2624722
la casa del latino,hotel,10.9516212,108.2110959
Sea Wind Resort,hotel,10.9532721,108.2149848
Longson Mui Ne,hostel,10.973532,108.3397999
Hai Yen Family Hotel,hotel,10.9552817,108.2322306
chợ lagi,artwork,10.6627275,107.7752656
Da Huoai,memorial,11.3894303,107.5460298
mũi Yến,cape,11.0267938,108.4139838
NHÀ NGHỈ NGỌC YẾN,motel,10.9375773,108.0834367
Coco Beach Camp,camp_site,10.6320892,107.7258456
Nhà nghỉ NGỌC YẾN,motel,10.9384215,108.0841773
bàu trắng,artwork,11.0645675,108.4082889
Góc Biển,guest_house,10.9378367,108.2952841
Universe,motel,10.9403164,108.2956916
Minh Kha,hotel,10.9502702,108.2072213
Thao Ha Hotel,hotel,10.9513823,108.2096099
Mình chiến,guest_house,10.7065741,107.8418749
Nhà Nghỉ Tài lộc,motel,11.3887672,107.5225651
Tài Lộc Mottel,hotel,11.3887786,107.522564
Lagi resort,hotel,10.6684258,107.7885289
Tahn Binh Hotel,hotel,10.6604417,107.7716956
Khách sạn HẢI VÂN,hotel,10.9324396,108.1071518
Khách sạn Hải Vân,hotel,10.932452,108.1071627
Bang Lai Ten Canh,attraction,10.9553565,108.3069033
nhà Tuyền,artwork,11.069958,108.1284723
Lu Glamping,camp_site,10.7060444,107.9809228
Mai Long,hotel,10.6599319,107.7748409
Thanh Trúc,hotel,10.9549622,108.2350477
Hoang long,hotel,10.93297,108.1110767
Doi duong,hotel,10.9241548,108.1139648
Cat Tien Guesthouse,motel,10.9514976,108.2558758
Viên dong,hotel,10.9265831,108.1139085
Binh minh,hotel,10.9248383,108.1147958
TTC,hotel,10.9263575,108.1149775
Bong lai tien canh,camp_site,10.9554565,108.3071196
A504,motel,10.9399827,108.1833068
Bãi biển hoang sơ Đồi Dương,camp_site,10.6698529,107.7915813
Suối La Ngâu,camp_site,11.2360551,107.7848163
Policecontrol,attraction,11.0345751,108.372597
The cliff,hotel,10.9376185,108.1794041
Bánh Căn 331,information,10.6679087,107.763153
Khách sạn Bình Minh,hotel,10.9248109,108.1144885
Mường Thanh Holiday,hotel,10.94964,108.257925
Cây Bàng,guest_house,10.9367927,108.1876434
Núi Hồ Linh,peak,10.510745,107.5032561
Núi Mây Tào,peak,10.7715976,107.5052501
TDC Phan Thiết,artwork,10.924938,108.053849
Nhi Phán,guest_house,10.7070649,107.84067
TDC Huỳnh Gia,motel,10.9551131,108.2254282
Xóm Chài,motel,10.8754533,108.0572717
Golden Coast Resort&Spa,hotel,10.8658156,108.0529113
Non nước,hotel,10.8728517,108.0558788
Pong Lan,hotel,10.8773518,108.0579672
nha 38,museum,11.3082637,107.5072919
Nhà boss lợi,alpine_hut,11.3926884,107.5115029
Quynh nhu,motel,10.558152,107.5375515
Minh Ngọc,hotel,10.9492588,108.2603235
Đường ra Kê Gà,artwork,10.7042013,107.9856266
Bãi biển Đồi Dương Thị Xã Lagi,artwork,10.7063765,107.8415884
Hai Dang Ke Ga,camp_site,10.6957809,107.9922604
Quán bánh canh cá lóc,information,11.2568369,107.6410873
Nhà Nghỉ Hoàng Lộc,hotel,11.1733929,107.5667257
Nhà Cậu 2,artwork,10.6072594,107.5664909
Nhà Gì Loan,guest_house,10.9283168,108.1037099
hòn rơm,camp_site,10.9545431,108.306581
quang cường,motel,10.9334253,108.117674
muine hostel,hotel,10.9533132,108.2162001
fiore,hotel,10.8438732,108.0416853
câu cá tiến hưng,camp_site,10.9275357,108.0701862
xuân nở,hostel,10.9552978,108.2151425
cường máy,camp_site,10.9465707,108.0436424
ngọc lai,motel,10.9479557,108.2026633
suối tiên_mũi né,hotel,10.94941,108.2062385
nhật thi,motel,10.9538589,108.2184355
caty-mui ne,hotel,10.9379236,108.1888
rạng đông,motel,10.9485294,108.2630007
Thanh Tuyền,motel,10.5986629,107.5612436
Resort paradise mũi né,hotel,10.9551887,108.2317034
Hải Âu resort,hotel,10.9512824,108.2554324
Nhà Ba Vk,wilderness_hut,11.0872435,107.6933739
Nhà Dì Vk,wilderness_hut,11.0979425,107.7052081
"555/47QL 28, Malam Ham Thuan Bac",apartment,11.0442037,108.1306397
Xuân Lu'o'm,apartment,10.9537975,108.2447034
Nhà Ba vk,wilderness_hut,11.0866692,107.6929638
Hotel Hoà Bình,guest_house,10.9219719,108.1110481
khách sạn Hoà Bình,hotel,10.9219485,108.1110303
Saint Mary Beach Resort and Camping,camp_site,10.7871933,108.0229374
Mui Ne Gardens,guest_house,10.9486671,108.2002565
MAY Bungalows,hotel,10.9532428,108.2472174
No stress guest house,hotel,10.9489506,108.2010776
Khách sạn Khánh An,hotel,10.9302024,108.1086805
Kayla's House,hotel,10.9307559,108.1116569
Golden peak resort & spa,hotel,10.7904247,108.0236852
Cashewnødde plantage,attraction,11.2502679,107.8568065
Dragon Fruit Plantage,attraction,11.1907698,108.0740317
Sand Painting,gallery,10.931789,108.1259011
Trung tâm ẩm thực giải trí Bờ kè Mũi Né,artwork,10.9548931,108.2255072
Rang Garden Beach Side,hotel,10.9550696,108.230369
Thầy Tô Thanh Vĩ,apartment,10.9480932,108.1089412
Thầy Tô Thanh Vĩ,apartment,10.948107,108.1089391
Nhà dì Loan,artwork,10.9282308,108.1037374
Bến Lội,bay,10.5431607,107.5453591
Bãi Suối Ồ - Sông Lô,beach,10.5659429,107.5673747
Bia chiến thắng Đèo Bảo Lộc,monument,11.4633252,107.7303494
iHome Mui Ne,hotel,10.9530097,108.2434603
Sehr schöner strand,attraction,11.0188516,108.3577742
Strand,attraction,11.0183038,108.3573104
Tháp Pô Sah Inư,attraction,10.9366179,108.1470038
Full Moon Village,hotel,10.9908029,108.3433489
SUỐI NƯỚC RESORT,hotel,10.9845765,108.342737
Hải Đăng Resort 1,hotel,10.995731,108.3455234
Khu Du Lịch Dã Ngoại Thiên Trang,hotel,10.9650397,108.3390037
Aquaba Resort,hotel,10.9763036,108.3398887
Longson Muine Beach Campground Resort,hotel,10.9728601,108.3405297
mui ne cape,viewpoint,10.9164207,108.284442
Camping with a view,camp_site,11.0253353,108.36386
Biển Hồ Hô Tram Camping,camp_site,10.5322922,107.5364244
Nhà Đại,information,11.174412,107.7235117
Nga Nghi,motel,10.6345562,107.7202902
Nhà nghi Quô'c Bình,guest_house,10.6784783,107.7545481
Mui ne Beach hotel,hotel,10.9547544,108.2412144
Bàu Nhám,artwork,10.5463785,107.5023727
Nha Nghi Hoang Gia,guest_house,11.18556,107.5643839
Minh Hung Hotel,hotel,10.9538073,108.2174182
Mui Né Hills Backpacker Hotels,hostel,10.9492224,108.1991432
Lê Văn Lộc,apartment,11.215754,107.6947376
PE97,apartment,10.9445253,108.1808224
Biển Sealinks,camp_site,10.9371273,108.1821035
Sunrise view,viewpoint,11.0040397,108.3495246
Tượng đài Việt Quốc Công,monument,10.9274792,108.1167763
Công viên Hòa Bình,,10.9294288,108.1152186
Tượng Bác Hồ và các cháu,memorial,10.9287494,108.0957223
mái vòm,,10.9286029,108.0945639
Khu nghỉ dưỡng Hodota,artwork,10.5704501,107.5708373
Fisherman's harbor,attraction,10.9344628,108.2825178
Miami Hostel,hostel,10.9532157,108.2148452
Núi Tà Lộc,peak,10.7589563,107.5362761
Reisfelder,viewpoint,11.4415849,108.3629819
ku bin,wilderness_hut,10.8411193,107.8020834
Pease,hotel,10.9982508,108.3466421
Vườn chè Lộc Thành - Bảo Lộc,alpine_hut,11.4374959,107.799241
Lang Cat,guest_house,10.9518844,108.2488454
IHome backpackers hostel,hostel,10.9533864,108.2416034
iHome backpacker resort,hostel,10.9533126,108.2420584
Sao Mai Mui Ne Hotel,hotel,10.9553562,108.2152672
tree rows,tree,10.922824,108.1124434
tree rows,tree,10.923067,108.1128123
tree rows,tree,10.9227827,108.1130038
tree rows,tree,10.9230808,108.1131112
tree rows,tree,10.9234384,108.1133541
tree rows,tree,10.9233054,108.1135035
tree rows,tree,10.9236631,108.1136623
tree rows,tree,10.9238465,108.1138491
tree rows,tree,10.9239795,108.1140452
tree rows,tree,10.9238511,108.1141386
tree rows,tree,10.9240712,108.114615
tree rows,tree,10.924273,108.1144422
tree rows,tree,10.924328,108.1147644
tree rows,tree,10.9244793,108.1151847
tree rows,tree,10.9245985,108.1148578
tree rows,tree,10.9247269,108.115138
tree rows,tree,10.9248186,108.1154415
tree rows,tree,10.9250479,108.115619
tree rows,tree,10.9252405,108.1159085
tree rows,tree,10.9254835,108.1161654
tree rows,tree,10.9257357,108.1164456
tree rows,tree,10.9250937,108.1153388
tree rows,tree,10.9253689,108.1153948
tree rows,tree,10.9256486,108.1154836
tree rows,tree,10.9254835,108.1156424
tree rows,tree,10.9256348,108.1159319
tree rows,tree,10.9259054,108.116114
tree rows,tree,10.9282069,108.1101128
Tượng chiến sĩ cách mạng,memorial,10.928578,108.1098116
tree rows,tree,10.937585,108.1111413
tree rows,tree,10.9373058,108.111203
tree rows,tree,10.9370741,108.1110099
tree rows,tree,10.9374876,108.1109938
tree rows,tree,10.9377983,108.1110152
tree rows,tree,10.9377693,108.1117421
tree rows,tree,10.9375955,108.1117287
tree rows,tree,10.9371847,108.1117233
tree rows,tree,10.9369846,108.1117341
tree rows,tree,10.9369767,108.1115222
tree rows,tree,10.9372927,108.1115383
tree rows,tree,10.9375271,108.111549
tree rows,tree,10.9369793,108.1111708
Bia tưởng niệm,memorial,10.9348913,108.097474
Tuan Bin;Thanh Kieu;thanh kiều,wilderness_hut,10.8409948,107.8012332
GA 1,apartment,11.1457139,107.6296554
Garden Guesthouse,guest_house,10.9530527,108.2497437
Mũi Nhỏ,cape,11.0486002,108.4750204
White Sand,attraction,11.0660329,108.4279966
Ihome Backpacker Resort,hostel,10.9534243,108.2415644
nnBẢY,apartment,10.9340891,108.1216173
nnBẢY,apartment,10.9341588,108.121755
nnBẢY,apartment,10.9341173,108.1215799
Victoria Phan Thiet Beach Resort & Spa,hotel,10.9368018,108.175972
Allezboo Beach Resort & Spa,hotel,10.9390758,108.1898068
PE 81 Sealink,apartment,10.9451469,108.1820995
Núi Tà Dôn,peak,11.0473295,108.1785381
Hòn Mốc,peak,11.2439184,108.3348019
Núi Ba Hòn,peak,10.8892704,108.0055286
Núi Nhọn,peak,10.8461827,107.8866219
I Love Mui Ne,attraction,10.9459359,108.268426
nhà tài 79,apartment,10.6043626,107.627804
Lotus Muine Resort & Spa,hotel,10.9366333,108.172401
Aroma Beach Resort & Spa,hotel,10.9365182,108.1716659
Sky Garden Hotel,guest_house,10.9551267,108.2143424
An Khang,apartment,11.1931127,108.3638379
Khánh Hưng,apartment,10.9296992,108.0919484
Mỹ Linh,apartment,11.1484471,107.5021492
Bảo Ngọc,apartment,11.2466009,107.660579
Nguyên Thịnh,apartment,11.2254714,107.6716602
86,apartment,11.1071688,107.6765311
Hồng Lợi,apartment,10.9676825,108.0069443
Anh Tuấn,apartment,11.0650901,108.129712
Ngọc Phượng,apartment,11.1327737,107.5014134
Diệp Anh,apartment,11.2138228,107.6857873
Lam Thuý Oanh,apartment,11.0802439,107.6833534
Ánh Sang,apartment,10.8728405,107.929253
Mỹ Oanh,apartment,11.0641575,107.6840936
Huỳnh Lê,apartment,11.1949235,108.2852895
Bảo Lộc Garden,,11.4652479,107.7608048
Nghỉ ngơi,motel,10.6853516,107.7506931
Thanh Phong,motel,10.9392414,108.1154997
Anh Khánh,museum,10.9529978,108.0609468
Novadream,camp_site,10.8491269,108.0424732
Mui Ne Hills Bliss Hotel,hotel,10.949056,108.1996339
Kim Long Hotel,hotel,10.9491732,108.1993582
Núi Sa Pung,peak,11.4908224,107.8026609
Nang Petaho,peak,11.3727634,107.893943
B'Nom Nam Bong,peak,11.375557,107.851989
B'Nom Hù,peak,11.3817989,107.8834852
Núi Đang Ko Nhan,peak,11.444221,107.8704833
Núi M'Neun Sougoune,peak,11.447597,108.0331349
Núi Paran,peak,11.3599842,107.969605
Núi M'Nom R'Ngall,peak,11.3934507,107.9898414
Sunset,viewpoint,10.9362359,108.1851218
Núi M'Nom Oun Rouass,peak,11.4373657,108.0192805
Núi M'Nom Haloun,peak,11.3830369,108.092091
Núi B'Nom Lu Mú,peak,11.4532542,107.660104
Núi B'Nom Lu Mu,peak,11.4062073,107.699104
Núi B'Nom Đan Lu,peak,11.4108139,107.7256001
Núi B'Nom Dam Broo,peak,11.4799966,107.6588327
Núi B'Nom Da Klait,peak,11.4828582,107.701115
Núi Tà Kóu,peak,10.8150648,107.9000974
Song Ngọc Phan Thiết,guest_house,10.9332324,108.113642
Lạc House,hotel,10.954203,108.2174041
Núi M'Nom Lam Leu,peak,11.4668606,108.170861
Núi Nhọn,peak,10.7851895,107.7435663
Núi Đất,peak,10.7351741,107.8069818
Núi Rễ,peak,11.167314,108.2810359
Núi Cơ Dung,peak,11.1394241,107.7811575
Núi Ông,peak,11.0777819,107.7902895
Núi Lầm,peak,10.9740449,107.8327793
Núi Đen,peak,10.9384477,107.8488564
Núi Lồ Ồ,peak,10.9132785,107.7921975
Núi Mơ Hai,peak,11.3345475,107.8196613
Núi Bể,peak,10.7540104,107.6255518
Núi La,peak,11.3159715,108.2752311
Hòn Rơm,peak,10.9549065,108.3352589
Núi Đá Chồng,peak,11.0672757,107.6707685
Núi B'Nom Pang Hya,peak,11.3111006,107.7377272
Núi Dang S'Ruin,peak,11.2765651,107.9065025
Núi Lấp,peak,10.9933541,107.663293
Núi Kiết,peak,10.9826765,107.6316661
Núi Giai,peak,10.9284915,107.7120232
Núi Bong,peak,10.9460427,107.7520096
Núi Ba Lang,peak,10.971773,107.7503433
Núi Mù Pang Hong,peak,11.3351781,107.7108453
Núi Đang Kê,peak,11.1812632,107.7881888
Núi Mốc,peak,11.0233953,107.7862672
Núi Gian,peak,11.0973372,107.6978653
Núi Gia,peak,11.0089034,107.8210216
Núi Rom Pang Ko,peak,11.2740488,107.6626584
Núi Long,peak,11.131804,107.7414699
Núi Bắc,peak,11.1483708,107.7356484
Núi Sơ Rơ Lung,peak,11.3505937,107.788853
Núi Bơ Phan Tre La,peak,11.3402285,107.7792587
Núi Cà Toong,peak,11.12007,107.6615948
Núi Lùm,peak,10.9982006,107.8693163
Núi Ông Trao,peak,11.1272129,107.9486775
Hòn Hồng,peak,11.0400456,108.4023571
Núi Bàu Thiêu,peak,11.0581888,108.3098745
Núi Xã Thô,peak,11.1083266,108.1565595
Vịnh Phan Thiết,bay,10.9103577,108.0977762
Núi Cố,peak,10.9353402,108.1611889
Núi N'Gung Ré,peak,11.4416719,108.0724993
Núi M'Nom Pan Tar,peak,11.46301,108.0874464
Núi M'Nom Lai Dui,peak,11.4274488,108.1161976
Tổ quốc Ghi công,monument,11.185838,107.5590115
Suối nước nóng Bình Châu,hot_spring,10.6050088,107.5564353
Núi Dinh,peak,11.154219,107.5358963
Núi Cô Nhí,peak,10.9660927,107.9755211
Núi Rao,peak,10.870628,107.5812149
Núi Là A,peak,10.8848622,107.6220918
Núi Giăng Co,peak,10.8449867,107.707665
Núi Lồ Ô,peak,10.8478476,107.6570892
Núi Mương,peak,10.9014556,107.8106832
Núi Bà Đặng,peak,10.7637654,107.9709613
Núi Ếch,peak,11.1790544,108.2601464
Blue Ocean Resort,hotel,10.9511916,108.2105628
Chon's Dock Homestay & House Lease,guest_house,10.9108358,108.0810305
Centara Mirage Resort Mui Ne,hotel,10.9468964,108.2686757
Nhà nghỉ Vân Hùng,motel,10.9602929,108.3278185
Đồi Cát Bay,information,10.948883,108.2978477
Làng Chài Mũi Né,information,10.9409844,108.2793613
Bãi Đá Ông Địa,information,10.9368487,108.1842521
Tháp Pô Sah Inư,information,10.9366961,108.1471089
lễ hội Katê tại tháp Po Sah Inư,information,10.9359748,108.1462594
