user_id,precision@5,recall@5,f1@5,ndcg@5,precision@10,recall@10,f1@10,ndcg@10,precision@20,recall@20,f1@20,ndcg@20,map,num_relevant,num_recommended
7,0.4,1.0,0.5714285714285715,0.5437713091520254,0.2,1.0,0.33333333333333337,0.5437713091520254,0.1,1.0,0.18181818181818182,0.5437713091520254,0.3666666666666667,2,20
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20
70,0.6,0.75,0.6666666666666665,0.8048099750039491,0.4,1.0,0.5714285714285715,0.9279611693743142,0.2,1.0,0.33333333333333337,0.9279611693743142,0.8125,4,20
71,0.2,0.125,0.15384615384615385,0.14606834984270645,0.1,0.125,0.11111111111111112,0.10893649261775588,0.05,0.125,0.07142857142857144,0.10893649261775588,0.03125,8,20
72,0.2,0.16666666666666666,0.1818181818181818,0.16958010263680806,0.1,0.16666666666666666,0.125,0.15130120674940672,0.05,0.16666666666666666,0.07692307692307691,0.15130120674940672,0.05555555555555555,6,20
73,0.2,0.2,0.20000000000000004,0.14606834984270645,0.2,0.4,0.26666666666666666,0.24816574496561808,0.1,0.4,0.16000000000000003,0.24816574496561808,0.09444444444444444,5,20
74,0.4,0.5,0.4444444444444445,0.5413996682199069,0.2,0.5,0.28571428571428575,0.5413996682199069,0.1,0.5,0.16666666666666669,0.5413996682199069,0.35,4,20
75,0.2,0.14285714285714285,0.16666666666666666,0.14606834984270645,0.3,0.42857142857142855,0.3529411764705882,0.3079211626100943,0.15,0.42857142857142855,0.2222222222222222,0.3079211626100943,0.1445578231292517,7,20
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5714285714285714,0.29629629629629634,0.28229837709569244,0.09528249528249529,7,20
77,0.6,0.6,0.6,0.6843515475204855,0.3,0.6,0.4,0.6843515475204855,0.15,0.6,0.24,0.6843515475204855,0.52,5,20
78,0.4,0.4,0.4000000000000001,0.5531464700081437,0.2,0.4,0.26666666666666666,0.5531464700081437,0.15,0.6,0.24,0.6448004979364766,0.45,5,20
79,0.2,0.14285714285714285,0.16666666666666666,0.16958010263680806,0.2,0.2857142857142857,0.23529411764705882,0.22906361076190904,0.15,0.42857142857142855,0.2222222222222222,0.29377194960346853,0.11224489795918367,7,20
