"id","title","description","image"
"900","Endless Field Tourist Area","This tourist area is a biodiversity reserve, nurturing many rare plant species and precious herbs. It was also the backdrop for the famous film 'Endless Field'. Following the film's huge success, the site has become a popular tourist destination in Long An province.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-KDL-Canh-Dong-Bat-Tan-9.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-KDL-Canh-Dong-Bat-Tan-8.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-KDL-Canh-Dong-Bat-Tan-7.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-KDL-Canh-Dong-Bat-Tan-6.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-KDL-Canh-Dong-Bat-Tan-5.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-KDL-Canh-Dong-Bat-Tan-4.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-KDL-Canh-Dong-Bat-Tan-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-KDL-Canh-Dong-Bat-Tan-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-KDL-Canh-Dong-Bat-Tan-1.jpg"
"901","King Coconut Tree Avenue in Tan Tru","About 40km south of Ho Chi Minh City lies a road often referred to as the ""happy road"". For years, the King Coconut Tree Avenue in Tan Tru, Long An, has been a popular check-in spot for tourists on weekends.|||An iconic road for nearly 30 years.|||Tan Tru District is nestled between the Vam Co Dong and Vam Co Tay rivers, with fertile alluvial soil perfect for growing lush fruits and trees. Visitors to Tan Tru Town often ask about the King Coconut Tree Avenue, and locals are always happy to share its location. The road has long been a symbol of the local community.|||The over 2km concrete road features two rows of straight and lush king coconut trees, surrounded by rice fields and green dragon fruit orchards, making it a source of pride for the locals. As you walk along the road, you'll feel like you're part of the beautiful scenery, which lives up to the road's nickname.|||Tan Tru Town in Long An Province is not only known for its achievements in rural transportation but also for its beautiful rural roads lined with flowers and trees. These concrete roads are surrounded by rice fields, with morning glory flowers and bean grass planted along the edges, and many roads are lined with two rows of lush coconut trees.|||Anyone who has visited Tan Tru Town in Long An Province is familiar with the King Coconut Tree Avenue near the local junior high school. The nearly 1km road features over 300 large coconut trees, making it a pride of the local community. The concrete road, lined with two rows of green coconut trees, passes through a field of golden rice, making anyone who walks through it feel happy.|||Taking photos until your hands ache.|||In addition to tourists who come to take photos, many couples choose this spot for their wedding photos to capture the special moments of their lives.|||Visitors to the King Coconut Tree Avenue at any time of day will catch unforgettable moments. At dawn, the misty scenery surrounding the coconut trees creates a romantic atmosphere. In the afternoon, the road is filled with images of students in their white uniforms riding their bikes home from school.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Hang-cau-vua-Tan-Tru-6.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Hang-cau-vua-Tan-Tru-5.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Hang-cau-vua-Tan-Tru-4.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Hang-cau-vua-Tan-Tru-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Hang-cau-vua-Tan-Tru-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Hang-cau-vua-Tan-Tru-1.jpg"
"902","Bac Lieu Bird Sanctuary","If you're planning a trip to the Mekong Delta, be sure to visit the Bac Lieu Bird Sanctuary, a nature reserve that offers a tranquil atmosphere and a glimpse into the region's wild side.|||The sanctuary is a remnant of the coastal mangrove forest, which has been naturally expanded to 385ha, including 19ha of primary forest, and is home to around 46 bird species, including the spotted necked grebe and the blackheaded ibis, 150 animal species, and 109 plant species, making it a rich and diverse ecosystem.|||As the sun sets, flocks of birds return to their nests, flying in an orderly fashion, separated by species, with some flying in arrow-like formations and others in a more scattered pattern, creating a lively atmosphere in the forest.|||In the late afternoon, the forest takes on a soft, gentle appearance, with the trees swaying in the breeze and the birds flying back to their nests, each species occupying its own territory, with the black cormorants perched on the highest branches and the white egrets resting on the middle tiers.|||The forest comes alive with the sounds of leaves rustling, wings flapping, and birds calling, creating a symphony that welcomes visitors from afar.|||As night falls, the nocturnal birds wake up and begin their activities, breaking the silence of the night, and the sounds of the forest are like a breath of fresh air, reconnecting humans with nature.|||Thanks to the investment from the local government, a canal has been dug around the sanctuary, along with a water reservoir and a fish pond, which have helped to restore the natural environment and attract a growing number of bird species, making the sanctuary an even more diverse and vibrant ecosystem.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/VUONCHIMBL/Vuon-chim-Bac-Lieu-5.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/VUONCHIMBL/Vuon-chim-Bac-Lieu-4.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/VUONCHIMBL/Vuon-chim-Bac-Lieu-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/VUONCHIMBL/Vuon-chim-Bac-Lieu-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/VUONCHIMBL/Vuon-chim-Bac-Lieu-1.jpg"
"903","Cao Van Lau Memorial Area","In 2008, this site was renovated and expanded over an area of approximately 2,800m2, featuring structures such as a triple-gate entrance, a tomb shelter for musician Cao Van Lau, a half-statue of Cao Van Lau, an exhibit house for documents, artifacts, and images of musicians, an outdoor stage, and a guest reception house.|||Located in ward 2, Bac Lieu city, the Cao Van Lau Memorial Area was originally the ancestral tomb of the musician's family. It was later restored and expanded with additional structures to host significant events and welcome distant visitors. The Cao Van Lau musician memorial was added to the list of National Intangible Cultural Heritage by the Ministry of Culture, Sports and Tourism in 2012.|||The Cao Van Lau memorial area in Bac Lieu features several structures, including the tomb of musician Cao Van Lau and his family, a bust of Cao Van Lau, and an exhibit area showcasing images and artifacts of the founders of Southern Vietnam's reformed theater. Notably, there is also a symbolic dan kìm (a type of zither) area and an outdoor stage, among other attractions.|||Upon entering the main gate, visitors will come across a bamboo flute monument situated in the memorial area. This monument is a stylized đàn kìm, a symbol of Southern Vietnam's traditional music. The đàn kìm is crafted from a bamboo node, with its hollowed-out sections creating an air of mystery and sanctity, evoking nostalgia and paying tribute to the deceased. This is also where visitors can pay their respects and offer incense.|||The mystical and sacred aspect here is the arrangement of steps leading to the bamboo pipe platform, with the number of steps symbolizing the rhythms and beats of traditional reformed theater, corresponding to each artist's creation: 2 steps for Cao Văn Lầu, 4 steps for Trịnh Thiên Tư, 8 steps for Lư Hòa Nghĩ, 16 steps for Mộng Vân, 32 steps for Trần Tấn Hưng, and 64 steps for Lý Khi.|||The stone staircase, made from green Thanh Hoa stone, features intricate carvings of dragons. The dragons' shapes follow the stairs, blending with cloud patterns to create a meaningful combination. As Bạc Liêu is known as the cradle of đờn ca tài tử (a type of traditional music), which flourished most in the southern region, the development and spread of this music are likened to a dragon.|||Surrounding the bamboo flute monument are 20 stone carvings of folk songs, including 3 Nam, 6 Bac, 4 Oan, and 7 large Bac songs. Behind the symbol of the Kìm instrument is a statue of musician Cao Van Lau. His famous piece, 'Da co hoai lang', is engraved on the back.|||Beyond the symbol of the kìm ensemble is a park featuring symbols of various musical instruments, all of which are part of the Southern Vietnam traditional music art. These include the flute, đàn cò (a type of harp), đàn tranh (16-string zither), đàn bầu (monochord), and guitar. What sets this instrument garden apart is that all the instruments are carved from green stone, looking sturdy and soulful, with the stone's color harmonizing with the greenery around.|||To the left is a memorial house dedicated to the late musician Cao Van Lau. On the right are service blocks. Finally, there's a performance building for traditional don ca tai tu music, situated on a lotus pond.|||For a glimpse into the treasured documents of traditional Vietnamese music and theater, or to admire images of renowned cai luong artists from Bac Lieu, the exhibition area is a must-visit. Inside, visitors can find stage costumes of famous cai luong artists and wax figures depicting traditional music performances, along with ancient instruments used by skilled artisans.|||Visitors will explore the golden age of Vietnamese traditional music and cải lương, as well as delve into the historical context of 'Dạ Cổ Hoài Lang' (Longing for My Husband on a Drumming Night). For over 100 years since its creation, Cao Văn Lầu's timeless love song 'Dạ cổ hoài lang' still resonates with millions of Vietnamese hearts, evoking profound marital love and devotion.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/KLNCAOVANLAU/KLN-Cao-Van-Lau-7.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/KLNCAOVANLAU/KLN-Cao-Van-Lau-6.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/KLNCAOVANLAU/KLN-Cao-Van-Lau-5.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/KLNCAOVANLAU/KLN-Cao-Van-Lau-4.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/KLNCAOVANLAU/KLN-Cao-Van-Lau-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/KLNCAOVANLAU/KLN-Cao-Van-Lau-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BacLieu/KLNCAOVANLAU/KLN-Cao-Van-Lau-1.jpg"
"904","Phu An Bamboo Village","Born from an ecological bamboo conservation project, Phu An Bamboo Village (in Phu An commune, Ben Cat town) has transformed into a 'green tourism' destination, welcoming around 10,000 domestic and international visitors annually. The local tourism industry is currently promoting it to become a major attraction for visitors from around the world.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/LANGTREPHUAN/LANG-TRE-PHU-AN-5.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/LANGTREPHUAN/LANG-TRE-PHU-AN-4.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/LANGTREPHUAN/LANG-TRE-PHU-AN-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/LANGTREPHUAN/LANG-TRE-PHU-AN-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/LANGTREPHUAN/LANG-TRE-PHU-AN-1.jpg"
"905","Thuy Chau Tourist Area","Thuy Chau is a newly emerged tourist destination near Saigon, popular among young people and families as a weekend getaway spot. Located about 25km from Saigon, in Binh Thang commune, Di An town, Binh Duong province.|||For those seeking a peaceful escape from the hustle and bustle of city life in Saigon, or simply looking for a short trip to bond with loved ones, Thuy Chau Tourist Area in Binh Duong is an ideal choice.|||Built as an 18-hectare artificial entertainment complex, the scenery here, from the treetops to the streams and forests, exudes a natural and serene atmosphere.|||At first glance, you'll be captivated by the scenery, with lush green trees lining the entrance, winding along the path to the largest artificial waterfall in Binh Duong province.|||The romantic landscape, reminiscent of Korea, with fallen leaves scattered on the ground, will leave you in awe. Be sure to capture these wonderful moments with your phone.|||In Thuy Chau, you'll immerse yourself in endless nature: lush green grass, meandering streams, and birds singing melodiously...|||All of these elements combine to create a breathtakingly beautiful scene that will make you forget you're in an artificial tourist area. Many visitors have praised Thuy Chau, comparing it to a miniature Da Lat, with its green landscapes, fresh air, and serene atmosphere.|||Visiting Thuy Chau Tourist Area, you'll have an unforgettable experience, swimming in the cool, clear waters of the artificial waterfall. Invite your friends and family to join you and let the powerful flow of the waterfall wash away your worries.|||Although it's an artificial waterfall, it looks like a natural wonder. The water flows gently under the falls, passing through rocks scattered along the stream, creating a beautiful landscape like a watercolor painting.|||Thuy Chau Tourist Area is truly an ideal picnic spot that you shouldn't miss, with its unique blend of natural beauty and modern amenities. Not only can you enjoy the majestic natural scenery reminiscent of Da Lat, but you can also take stunning photos like in Korea, and experience the modern European-style pool area. With a massive 1,200m2 area, this will be the perfect space for you and your loved ones to relax and unwind.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/KDLTHUYCHAU/DL-THUY-CHAU-6.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/KDLTHUYCHAU/DL-THUY-CHAU-4.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/KDLTHUYCHAU/DL-THUY-CHAU-5.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/KDLTHUYCHAU/DL-THUY-CHAU-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/KDLTHUYCHAU/DL-THUY-CHAU-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/KDLTHUYCHAU/DL-THUY-CHAU-1.jpg"
"906","Dau Tieng Lake Tourist Complex","Dau Tieng Lake is situated on the border of three provinces: Binh Duong, Binh Phuoc, and Tay Ninh, playing a crucial role in the regional economic development, especially in water management. Notably, it is the largest artificial lake in the country, covering an area of 27km2 and holding an average of 1.58 billion cubic meters of water. While its primary function is to supply water to the Saigon River and surrounding areas, in recent years, the lake has also been developed for tourism, becoming a popular destination that welcomes thousands of visitors annually.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/DAUTIENG/HO-DAU-TIENG-1.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/DAUTIENG/HO-DAU-TIENG-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/DAUTIENG/HO-DAU-TIENG-2.jpg"
"907","Công viên nước Thanh Lễ","Công viên có hồ thiếu nhi dành riêng cho trẻ em. Trẻ em đến đây có thể chơi các trò chơi với tàu chaỵ bằng hơi nước, các máng trượt nhỏ, các hình tượng nấm, rùa, cá sấu phun nước…phù hợp với lứa tuổi thiếu nhi.|||Ngoài ra công viên còn có hồ tạo sóng với nhiều chương trình chơi sóng hấp dẫn: sóng cao 0.9m và đợt sóng ngắn, sóng đơn, sóng kép, sóng đan xen…|||Sau thời gian vui chơi khách có thể thư giãn với dòng sông lười. Đặc biệt dòng sông lười tạo nên vòng xoáy, tạo cảm giác thích thú mới lạ.|||Bên cạnh các hồ bơi còn có hệ thống máng trượt, có máng trượt ba làn độ cao 6m, các loại máng trượt xoắn kín, xoắn hở độ cao 9m tạo cảm giác mạnh, từ trên cao rơi xuống hồ.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CVVHTHANHLE/CV-VH-THANH-LE-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CVVHTHANHLE/CV-VH-THANH-LE-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CVVHTHANHLE/CV-VH-THANH-LE-1.jpg"
"908","Gió & Nước Café Bình Dương","Designed by renowned architect Võ Trọng Nghĩa, this café's main concept revolves around utilizing natural water and ventilation to cool the space, creating a sense of openness and closeness to nature.|||In 2016, the wNw Cafe, designed by Võ Trọng Nghĩa and his team, made its mark in Bình Dương with a unique design that won second prize at the 2006 Vietnam Architecture Awards, and later, Võ Trọng Nghĩa became the first Vietnamese to win the gold medal at the 2007-2008 Arcasia Awards for the 'Wind and Water' café in Bình Dương. The café continued to achieve success with awards such as second prize in the international bamboo architecture competition organized by Bamboo Technologies Maui (USA) in 2007, and the International Architecture Award (IAA) in the USA in 2009.|||Its appearance immediately caught the attention of modern, stylish customers who love nature, and it has proven its unique appeal to customers visiting the café. 'Bình Dương is changing, and demands are changing with the unique features of the project; we will attract all customers from inside and outside the province and foreign tourists who love the essence of Vietnam, Vietnamese culture, and the Vietnamese soul,' the café owner shared.|||The wNw architecture remains close to nature and people, as seen in the open space overlooking the street and the use of natural materials like bamboo, wood, and stone. The image of the wNw café is designed to convey the traditional values of Vietnamese culture, which is the purity of the lotus flower. The bamboo garden with its green color reflects the communal bond between family and friends, making it an ideal meeting spot for customers looking to relax after work and escape the confines of home. Not only is it a harmonious combination of aesthetic space through scientific interior arrangement, but the project has also utilized wind energy and the cooling ability of water to create a natural air conditioner. A notable change is the central bar, which has been refined to serve groups of friends, families, and organizations celebrating birthdays, parties, and special occasions.|||In the new plan, wNw will have entertainment programs, lucky draws, music, and interactions with singers from Ho Chi Minh City and Bình Dương. The prices of drinks and light meals will also be adjusted to suit customers from inside and outside the country.","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CAFEGIVNC/CAFE-GIO-VA-NUOC.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CAFEGIVNC/CAFE-GIO-VA-NUOC-6.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CAFEGIVNC/CAFE-GIO-VA-NUOC-5.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CAFEGIVNC/CAFE-GIO-VA-NUOC-4.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CAFEGIVNC/CAFE-GIO-VA-NUOC-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CAFEGIVNC/CAFE-GIO-VA-NUOC-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CAFEGIVNC/CAFE-GIO-VA-NUOC.jpg"
"909","Phuoc Loc Tho Ancient Village Tourist Area","Located in Hựu Thạnh commune, Đức Hòa district, Long An province, Phước Lộc Thọ ancient village is a unique tourist destination in Long An. The entire village covers about 10 hectares and was started in 2006. Some main activities in the village include visiting the ancient house complex, exploring the orchid garden, old trees, and rockery, and visiting the zoo...","https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Lang-Phuoc-Loc-Tho-10.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Lang-Phuoc-Loc-Tho-8.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Lang-Phuoc-Loc-Tho-7.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Lang-Phuoc-Loc-Tho-6.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Lang-Phuoc-Loc-Tho-4.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Lang-Phuoc-Loc-Tho-5.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Lang-Phuoc-Loc-Tho-3.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Lang-Phuoc-Loc-Tho-2.jpg|||https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/LongAn/Long-An-Lang-Phuoc-Loc-Tho-1.jpg"
